Material,Plnt,SLoc,SL,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
2042011823,ARPE,PE02,,PC,9.000,USD,57.90,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011863,ARPE,PE02,,PC,1.000,USD,6.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011933,AMLP,LP01,,PC,10.000,USD,22.80,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011933,ARPE,PE02,,PC,2.000,USD,1.02,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012283,AMLP,LP01,,PC,38.000,USD,267.89,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012283,ARPE,PE02,,PC,18.000,USD,37.98,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012283,PORS,PS06,,PC,16.000,USD,102.56,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012293,ARPE,PE02,,PC,18.000,USD,80.34,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012293,PORS,PS06,,PC,36.000,USD,216.36,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012373,ARPE,PE02,,PC,1.000,USD,446.76,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012423,ARPE,PE02,,PC,1.000,USD,3.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012453,ARPE,PE02,,PC,2.000,USD,"1,188.06",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012503,ARPE,PE02,,PC,1.000,USD,17.81,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012533,ARPE,PE02,,PC,1.000,USD,3.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012573,AMPE,PE01,,PC,3.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012573,ARPE,PE02,,PC,5.000,USD,205.41,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012573,PORS,PS06,,PC,2.000,USD,2.84,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012633,ARPE,PE02,,PC,4.000,USD,27.72,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012653,ARPE,PE02,,PC,14.000,USD,11.88,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012663,ARPE,PE02,,PC,8.000,USD,42.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012673,ARPE,PE02,,PC,2.000,USD,87.67,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012683,ARPE,PE02,,PC,4.000,USD,6.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012693,ARPE,PE02,,PC,1.000,USD,7.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012733,ARPE,PE02,,PC,10.000,USD,"3,330.40",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012753,ARPE,PE02,,PC,2.000,USD,26.68,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012803,ARPE,PE02,,PC,1.000,USD,7.92,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012813,ARPE,PE02,,PC,1.000,USD,270.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012833,ARPE,PE02,,PC,1.000,USD,514.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012843,ARPE,PE02,,PC,1.000,USD,"1,895.00",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012853,ARPE,PE02,,PC,1.000,USD,403.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012873,ARPE,PE02,,PC,1.000,USD,13.67,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012903,PORS,PS06,,PC,4.000,USD,"2,123.96",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012913,ARPE,PE02,,PC,2.000,USD,587.44,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012933,ARPE,PE02,,PC,2.000,USD,330.34,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012943,ARPE,PE02,,PC,2.000,USD,"1,472.44",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012963,ARPE,PE02,,PC,2.000,USD,70.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042012973,ARPE,PE02,,PC,4.000,USD,316.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013003,ARPE,PE02,,PC,1.000,USD,"1,254.70",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013073,ARPE,PE02,,PC,1.000,USD,"1,522.00",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013173,AMLP,LP01,,PC,16.000,USD,510.24,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013183,ARPE,PE02,,PC,2.000,USD,674.38,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013213,ARPE,PE02,,PC,6.000,USD,5.40,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013223,AMLP,LP01,,PC,59.000,USD,166.68,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013223,ARPE,PE02,,PC,6.000,USD,5.66,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013293,ARPE,PE02,,PC,1.000,USD,155.18,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013373,ARPE,PE02,,PC,16.000,USD,43.36,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013573,ARPE,PE02,,PC,128.000,USD,130.56,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013593,AMLP,LP01,,PC,1.000,USD,"1,252.69",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013623,PORS,PS06,,PC,4.000,USD,"1,751.88",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013673,ARPE,PE02,,PC,2.000,USD,164.26,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013683,ARPE,PE02,,PC,5.000,USD,30.75,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013693,PORS,PS06,,PC,4.000,USD,473.28,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013703,ARPE,PE02,,PC,1.000,USD,58.31,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013703,PORS,PS06,,PC,4.000,USD,251.12,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013713,ARPE,PE02,,PC,2.000,USD,378.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013753,ARPE,PE02,,PC,56.000,USD,14.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013813,PORS,PS06,,PC,4.000,USD,422.08,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042013993,ARPE,PE02,,PC,36.000,USD,804.60,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014133,AMLP,LP01,,PC,9.000,USD,31.59,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014133,ARPE,PE02,,PC,25.000,USD,240.25,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014133,PORS,PS06,,PC,10.000,USD,99.70,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014163,ARPE,PE02,,PC,3.000,USD,189.05,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014163,PORS,PS06,,PC,4.000,USD,219.28,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014323,ARPE,PE02,,PC,31.000,USD,36.27,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014393,ARPE,PE02,,PC,9.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014393,PORS,PS06,,PC,3.000,USD,108.93,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014403,ARPE,PE02,,PC,2.000,USD,"4,140.56",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014453,ARPE,PE02,,PC,8.000,USD,31.68,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014453,PORS,PS06,,PC,14.000,USD,25.48,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014463,ARPE,PE02,,PC,5.000,USD,1.35,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014543,ARPE,PE02,,PC,1.000,USD,129.63,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014603,ARPE,PE02,,PC,2.000,USD,"9,636.16",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014613,ARPE,PE02,,PC,8.000,USD,46.48,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014613,PORS,PS06,,PC,6.000,USD,11.64,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014623,ARPE,PE02,,PC,2.000,USD,11.88,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014633,ARPE,PE02,,PC,50.000,USD,52.26,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014763,ARPE,PE02,,PC,1.000,USD,30.68,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042014843,ARPE,PE02,,PC,1.000,USD,"1,540.71",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015023,ARPE,PE02,,PC,21.000,USD,124.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015023,PORS,PS06,,PC,42.000,USD,19.32,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015033,ARPE,PE02,,PC,3.000,USD,6.27,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015073,AMLP,LP01,,PC,8.000,USD,96.77,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015253,ARPE,PE02,,PC,1.000,USD,235.51,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015253,PORS,PS06,,PC,1.000,USD,261.36,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015263,ARPE,PE02,,PC,1.000,USD,11.94,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015273,ARPE,PE02,,PC,1.000,USD,243.77,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015303,ARPE,PE02,,PC,1.000,USD,123.69,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015303,PORS,PS06,,PC,1.000,USD,141.20,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015333,ARPE,PE02,,PC,4.000,USD,3.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015363,ARPE,PE02,,PC,7.000,USD,386.50,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015383,ARPE,PE02,,PC,2.000,USD,118.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015443,ARPE,PE02,,PC,1.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015533,ARPE,PE02,,PC,2.000,USD,27.70,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015553,ARPE,PE02,,PC,2.000,USD,72.09,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015583,ARPE,PE02,,PC,2.000,USD,131.08,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015603,ARPE,PE02,,PC,2.000,USD,40.83,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015623,ARPE,PE02,,PC,1.000,USD,"1,357.31",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015643,AMLP,LP01,,PC,8.000,USD,43.28,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015733,ARPE,PE02,,PC,2.000,USD,2.28,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015753,PORS,PS06,,PC,3.000,USD,"1,428.84",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042015803,ARPE,PE02,,PC,2.000,USD,66.48,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016013,ARPE,PE02,,PC,6.000,USD,"2,350.92",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016023,ARPE,PE02,,PC,6.000,USD,"2,350.92",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016213,ARPE,PE02,,KT,2.000,USD,"5,957.72",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016313,ARPE,PE02,,PC,2.000,USD,897.50,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016363,ARPE,PE02,,PC,2.000,USD,"1,436.78",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016373,ARPE,PE02,,PC,2.000,USD,"1,436.78",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016393,ARPE,PE02,,PC,1.000,USD,"2,891.47",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016403,ARPE,PE02,,PC,1.000,USD,"2,891.47",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016733,ARPE,PE02,,PC,31.000,USD,"2,941.09",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016753,ARPE,PE02,,PC,2.000,USD,796.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016813,ARPE,PE02,,KT,1.000,USD,92.53,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016833,ARPE,PE02,,PC,1.000,USD,37.81,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016853,ARPE,PE02,,PC,1.000,USD,224.87,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016863,ARPE,PE02,,PC,1.000,USD,7.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016883,ARPE,PE02,,PC,1.000,USD,30.84,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016893,ARPE,PE02,,PC,1.000,USD,2.98,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016903,ARPE,PE02,,PC,2.000,USD,7.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016913,ARPE,PE02,,PC,2.000,USD,7.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016923,ARPE,PE02,,PC,1.000,USD,3.98,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016933,ARPE,PE02,,PC,1.000,USD,99.50,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016943,ARPE,PE02,,PC,1.000,USD,3.98,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042016963,ARPE,PE02,,PC,1.000,USD,5.97,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017253,ARPE,PE02,,PC,22.000,USD,200.20,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017253,PORS,PS06,,PC,6.000,USD,50.70,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017263,ARPE,PE02,,PC,62.000,USD,642.32,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017273,ARPE,PE02,,PC,213.000,USD,193.83,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017273,PORS,PS06,,PC,17.000,USD,12.41,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017283,ARPE,PE02,,PC,29.000,USD,87.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017293,ARPE,PE02,,PC,65.000,USD,"4,764.46",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017313,ARPE,PE02,,PC,14.000,USD,216.30,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017333,ARPE,PE02,,PC,4.000,USD,"1,138.64",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017353,AMLP,LP01,,PC,58.000,USD,293.97,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017353,ARPE,PE02,,PC,95.000,USD,"1,249.25",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017353,PORS,PS06,,PC,10.000,USD,84.90,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017393,ARPE,PE02,,PC,7.000,USD,78.08,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017443,AMLP,LP01,,PC,6.000,USD,201.60,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017443,ARPE,PE02,,PC,13.000,USD,261.84,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017463,ARPE,PE02,,PC,6.000,USD,111.38,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017473,ARPE,PE02,,PC,4.000,USD,"1,657.64",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017503,ARPE,PE02,,PC,6.000,USD,"40,305.64",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017803,ARPE,PE02,,PC,8.000,USD,"52,836.40",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042017813,ARPE,PE02,,PC,13.000,USD,"153,730.08",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042018023,ARPE,PE02,,PC,2.000,USD,"5,083.06",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042018103,ARPE,PE02,,PC,2.000,USD,"11,353.70",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042018203,ARPE,PE02,,PC,2.000,USD,"11,353.70",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042018303,ARPE,PE02,,PC,2.000,USD,"11,353.70",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042018863,ARPE,PE02,,PC,6.000,USD,150.06,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042018893,ARPE,PE02,,PC,27.000,USD,13.50,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019113,ARPE,PE02,,PC,32.000,USD,"8,530.88",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019123,ARPE,PE02,,PC,22.000,USD,239.58,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019123,PORS,PS06,,PC,32.000,USD,698.24,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019213,ARPE,PE02,,PC,20.000,USD,"4,481.40",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019223,ARPE,PE02,,PC,1.000,USD,138.16,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019263,ARPE,PE02,,PC,72.000,USD,33.84,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019303,ARPE,PE02,,PC,14.000,USD,296.15,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019343,ARPE,PE02,,PC,3.000,USD,38.63,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019343,PORS,PS06,,PC,6.000,USD,98.14,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019393,AMLP,LP01,,PC,21.000,USD,14.28,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019393,ARPE,PE02,,PC,24.000,USD,28.66,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019453,ARPE,PE02,,PC,7.000,USD,"1,004.85",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019523,ARPE,PE02,,PC,4.000,USD,446.92,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019553,AMND,ND01,,PC,61.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019623,ARPE,PE02,,PC,11.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019633,ARPE,PE02,,PC,3.000,USD,175.95,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019643,AMLP,LP01,,PC,58.000,USD,793.44,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019643,ARPE,PE02,,PC,73.000,USD,780.65,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019643,PORS,PS06,,PC,4.000,USD,48.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019723,ARPE,PE02,,PC,12.000,USD,123.60,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019763,ARPE,PE02,,PC,34.000,USD,338.30,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042019773,ARPE,PE02,,PC,65.000,USD,291.85,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042020403,AMLP,LP01,,PC,14.000,USD,167.86,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
